bird_id,common_name,sex,scientific_name,family,length_lower,length_upper,body_mass_lower,body_mass_upper,wingspan_lower,wingspan_upper,NF_wing_bar,NF_long_neck,NF_colorful,NF_large_bill,NF_long_tail,NF_plumage,NF_long_legs,other,C_Black,C_White,C_Brown,C_Red,C_Grey,C_Orange_Yellow,C_Green,C_Blue,C_purple
58,Long-Tailed Duck,Male,Clangula hyemalis,Anatidae,44,60,0.73,0.74,70,71,0,0,0,0,1,0,0,N/A,1,1,0,1,1,0,0,0,0
59,Long-Tailed Duck,Female,Clangula hyemalis,Anatidae,44,60,0.73,0.74,70,71,0,0,0,0,0,0,0,N/A,1,1,1,0,1,0,0,0,0
60,Bufflehead,Male,Bucephala albeola,Anatidae,32,40,0.27,0.55,54,55,0,0,0,0,0,0,0,N/A,1,1,0,0,0,0,1,0,1
61,Bufflehead,Female,Bucephala albeola,Anatidae,32,40,0.27,0.55,54,55,0,0,0,0,0,0,0,N/A,1,1,0,0,1,0,0,0,0
62,Common Goldeneye,Male,Bucephala clangula,Anatidae,45,52,0.888,1.4,77,83,0,0,0,0,0,0,0,N/A,1,1,0,0,0,1,1,0,0
63,Common Goldeneye,Female,Bucephala clangula,Anatidae,40,50,0.5,1.128,75,77,0,0,0,0,0,0,0,N/A,1,1,1,0,1,1,0,0,0
64,Barrow's Goldeneye,Male,Bucephala islandica,Anatidae,43,48,0.48,1.32,1000000000,1000000000,0,0,0,0,0,0,0,N/A,1,1,0,0,0,1,0,0,0
65,Barrow's Goldeneye,Female,Bucephala islandica,Anatidae,43,48,0.48,1.32,1000000000,1000000000,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
66,Hooded Merganser,Male,Lophodytes cucullatus,Anatidae,40,49,0.453,0.879,60,66,0,0,0,0,0,1,0,N/A,1,1,1,0,0,0,0,0,0
67,Hooded Merganser,Female,Lophodytes cucullatus,Anatidae,39,45,0.4,0.879,59,63,0,0,0,0,0,1,0,N/A,0,0,1,0,0,1,0,0,0
68,Common Merganser,Male,Mergus merganser,Anatidae,58,72,0.9,2.1,78,97,0,0,0,0,0,0,0,N/A,1,1,0,1,0,0,1,0,0
69,Common Merganser,Female,Mergus merganser,Anatidae,58,72,0.9,2.1,78,97,0,0,0,0,0,0,0,N/A,0,1,0,1,1,1,0,0,0
70,Red-Breasted Merganser,Male,Mergus serrator,Anatidae,51,62,0.8,1.35,70,86,0,0,0,0,0,0,0,Similar to common merganser,1,1,1,1,1,0,1,0,0
71,Red-Breasted Merganser,Female,Mergus serrator,Anatidae,51,62,0.8,1.35,70,86,0,0,0,0,0,0,0,Similar to common merganser,0,0,1,1,1,0,0,0,0
72,Ruddy Duck,Male,Oxyura jamaicensis,Anatidae,34,43,0.5,0.56,45,47,0,0,0,0,0,0,0,Blue bill(?),1,1,1,0,0,0,0,1,0
73,Ruddy Duck,Female,Oxyura jamaicensis,Anatidae,34,43,0.5,0.56,45,47,0,0,0,0,0,0,0,N/A,1,1,1,0,0,0,0,0,0
74,Scaled Quail,Both,Callipepla squamata,Odontophoridae,25,35,0.177,0.191,37,38,0,0,0,0,0,0,0,N/A,1,1,1,0,1,0,0,0,0
75,Gambel's Quail,Both,Callipepla gambelii,Odontophoridae,24,25,0.16,0.2,34,36,0,0,0,0,0,1,0,N/A,1,1,1,1,1,0,0,0,0
76,Northern Bobwhite,Both,Colinus virginianus,Odontophoridae,24,28,0.13,0.255,33,38,0,0,0,0,0,0,0,N/A,1,1,1,0,0,0,0,0,0
77,Chuckar Partridge,Both,Alectoris chuka,Phasianidae,32,38,0.367,0.765,1000000000,1000000000,0,0,0,0,0,0,0,N/A,1,1,1,1,1,0,0,0,0
78,Ring-necked Pheasant,Male,Phasianus colchicus,Phasianidae,50,70,0.5,3,56,86,0,0,1,0,1,0,0,N/A,1,1,1,1,0,1,1,0,0
79,Ring-necked Pheasant,Female,Phasianus colchicus,Phasianidae,50,70,0.5,3,56,86,0,0,0,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0
80,Ruffed Grouse,Both,Bonasa umbellus,Phasianidae,40,45,0.45,0.75,50,64,0,0,0,0,0,0,0,N/A,1,1,1,1,0,0,0,0,0
81,Greater Sage-Grouse,Male,Centrocercus urophasianus,Phasianidae,56,75,1.4,2.9,1000000000,1000000000,0,0,0,0,1,0,0,N/A,1,1,0,0,1,1,0,0,0
82,Greater Sage-Grouse,Female,Centrocercus urophasianus,Phasianidae,56,75,1.4,2.9,1000000000,1000000000,0,0,0,0,0,0,0,N/A,0,1,1,0,0,0,0,0,0
83,Gunnison Sage-Grouse,Male,Centrocercus minimus,Phasianidae,46,56,0.99,2.435,1000000000,1000000000,0,0,0,0,1,1,0,Similar to great sage-grouse (male),1,1,0,0,1,1,0,0,0
84,Gunnison Sage-Grouse,Female,Centrocercus minimus,Phasianidae,56,75,1.4,2.9,1000000000,1000000000,0,0,0,0,0,0,0,Similar to great sage-grouse (female),0,1,1,0,0,0,0,0,0
85,White-Tailed Ptarmigan,Male,Lagopus leucura,Phasianidae,30,31,0.33,0.48,1000000000,1000000000,0,0,0,0,0,0,0,N/A,1,1,1,1,0,0,0,0,0
86,White-Tailed Ptarmigan,Female,Lagopus leucura,Phasianidae,30,31,0.33,0.48,1000000000,1000000000,0,0,0,0,0,0,0,N/A,1,0,1,0,1,1,0,0,0
87,Dusky Grouse,Male,Dendragapus obscurus,Phasianidae,40,50,0.75,1.3,1000000000,1000000000,0,0,0,0,1,0,0,N/A,1,1,0,1,0,0,0,0,0
88,Dusky Grouse,Female,Dendragapus obscurus,Phasianidae,40,50,0.75,1.3,1000000000,1000000000,0,0,0,0,0,0,0,N/A,1,1,1,0,0,0,0,0,0
89,Sharp-Tailed Grouse,Male,Tympanuchus phasianellus,Phasianidae,41,47,0.596,1.031,1000000000,1000000000,0,0,0,0,1,0,0,N/A,1,1,1,0,0,1,0,0,1
90,Sharp-Tailed Grouse,Female,Tympanuchus phasianellus,Phasianidae,41,47,0.596,1.031,1000000000,1000000000,0,0,0,0,1,0,0,N/A,1,1,1,0,0,0,0,0,0
91,Greater Prairie-Chicken,Male,Tympanuchus cupido,Phasianidae,42,44,0.7,1.2,1000000000,1000000000,0,0,0,0,0,0,0,N/A,0,1,1,1,0,1,0,0,0
92,Greater Prairie-Chicken,Female,Tympanuchus cupido,Phasianidae,42,44,0.7,1.2,1000000000,1000000000,0,0,0,0,0,0,0,N/A,1,1,1,0,0,0,0,0,0
93,Lesser Prairie-Chicken,Male,Tympanuchus pallidicinctus,Phasianidae,38,54,0.628,0.813,1000000000,1000000000,0,0,0,0,0,0,0,Similar to greater prarie-chicken (male),0,1,1,1,0,1,0,0,0
94,Lesser Prairie-Chicken,Female,Tympanuchus pallidicinctus,Phasianidae,38,54,0.628,0.813,1000000000,1000000000,0,0,0,0,0,0,0,Similar to greater prarie-chicken (female),1,1,1,0,0,0,0,0,0
95,Wild Turkey,Male,Meleagris gallopavo,Phasianidae,110,115,2.5,10.8,125,144,0,1,1,0,1,0,0,N/A,1,1,1,1,1,0,0,1,1
96,Wild Turkey,Female,Meleagris gallopavo,Phasianidae,110,115,2.5,10.8,125,144,0,1,0,0,1,0,0,N/A,1,1,1,0,1,0,0,0,0
